Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
Wishberry,2017-01-01,Mumbai,Financial Services,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Undisclosed,Undisclosed,1200192.0307249161,Series_A,2018-01-01,365 days,2018-01-01,2018
McXtra,2017-01-01,Andheri,Financial Services,McXtra is a digital insurance broking startup.,Undisclosed,Undisclosed,1300000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Magic Crate,2017-01-01,Bengaluru,IT & Technology,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
SmartVizX,2017-01-01,Noida,IT & Technology,It is a Virtual Reality Solutions StartUp,Undisclosed,Undisclosed,1450000.0,Seed,2018-01-01,365 days,2018-01-01,2018
MySEODoc,2017-01-01,Delhi,Business Services,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2017-01-01,Pune,Business Services,Digital Marketing Agency,Undisclosed,Undisclosed,2400.384061449832,Seed,2018-01-01,365 days,2018-01-01,2018
Scale Labs,2017-01-01,Delhi,Retail,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
HungerBox,2017-01-01,Bengaluru,Business Services,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,Undisclosed,Undisclosed,4500000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Biryani By Kilo,2017-01-01,Noida,Consumer Goods,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Wholesome Habits (EAT Anytime),2017-01-01,Mumbai,Consumer Goods,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,Undisclosed,Undisclosed,500000.0,Seed,2018-01-01,365 days,2018-01-01,2018
GoBumpr,2017-01-01,Mylapore,IT & Technology,Car Service and Bike Service Mobile App,Undisclosed,Undisclosed,600000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Fixpocket,2017-01-01,Ahmedabad,IT & Technology,Fixpocket is a internet-based startup.,Undisclosed,Undisclosed,250000.0,Seed,2018-01-01,365 days,2018-01-01,2018
edureka!,2017-01-01,Bengaluru,IT & Technology,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Undisclosed,Undisclosed,2000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Hashtag Loyalty Private Limited,2017-01-01,Mumbai,IT & Technology,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Wow Express,2017-01-01,Mumbai,IT & Technology,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",Undisclosed,Undisclosed,4500000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
ZunRoof,2017-01-01,Gurugram,Business Services,ZunRoof is a rooftop focused solar startup.,Undisclosed,Undisclosed,199231.87710033607,Seed,2018-01-01,365 days,2018-01-01,2018
Eggoz,2017-01-01,Indore,Consumer Goods,Eggoz is a full-stack layer poultry business operator & service provider .,Undisclosed,Undisclosed,144023.04368698993,Seed,2018-01-01,365 days,2018-01-01,2018
Sqrrl Fintech,2017-01-01,Gurugram,IT & Technology,Personal Finance,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
GalaxyCard,2017-01-01,Noida,Financial Services,GalaxyCard is a mobile based Instant credit card.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
IndiQube,2017-01-01,Bengaluru,Business Services,IndiQube is a provider of co-working spaces based in Bengaluru.,Undisclosed,Undisclosed,15000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
EGK Foods,2017-01-01,Mumbai,Consumer Goods,A food processing enterprise registered with StartUp India .,Undisclosed,Undisclosed,240038.40614498322,Seed,2018-01-01,365 days,2018-01-01,2018
NirogStreet,2017-01-01,Gurugram,IT & Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Undisclosed,Undisclosed,300000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Pixr8,2017-01-01,Ghaziabad,Business Services,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,Undisclosed,Undisclosed,50000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Nivesh.com,2017-01-01,Noida,Financial Services,Nivesh.com is a mass market mutual funds investment platform.,Undisclosed,Undisclosed,360057.6092174748,Seed,2018-01-01,365 days,2018-01-01,2018
Theranosis Life Sciences,2017-01-01,Hyderabad,Healthcare & Life sciences,A fully functioning cell culture facility and molecular biology setup.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Poshmiles Online Solutions Private Limited,2017-01-01,Bengaluru,Travel & Tourism,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Reculta,2017-01-01,Noida,Business Services,A campus recruitment solution provider.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Orbo.ai,2017-01-01,Mumbai,IT & Technology,Orbo is a computer vision and deep facial technology company.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Inntot Technologies,2017-01-01,Kochi,Manufacturing,"Inntot Technologies, is a technology driven company.",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Zoctr Health,2017-01-01,Powai,IT & Technology,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Hey Deedee,2017-01-01,Mumbai,Business Services,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,Undisclosed,Undisclosed,396063.3701392223,Seed,2018-01-01,365 days,2018-01-01,2018
DigiConnectt Technologys,2017-01-01,Bengaluru,IT & Technology,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,Undisclosed,Undisclosed,125000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Locus.sh,2017-01-01,Bengaluru,IT & Technology,Locus is an intelligent logistics automation platform.,Undisclosed,Undisclosed,4000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Sports Flashes Pvt. Ltd,2017-01-01,New Delhi,Healthcare & Life sciences,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Inc42,2017-01-01,New Delhi,Media & Entertainment,Inc42 is one of the leading tech media publications of India.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Picxy,2017-01-01,Guntur,IT & Technology,"A stock photo startup based in Amravati, Andhra Pradesh.",Undisclosed,Undisclosed,130000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Huddle,2017-01-01,Haryana,Business Services,A coworking incubator Company.,Undisclosed,Undisclosed,300000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Benepik,2017-01-01,Gurugram,Business Services,HR Technology start-up.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Cash Suvidha,2017-01-01,New Delhi,Financial Services,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Smartcoin,2017-01-01,Bengaluru,IT & Technology,Providing financial access to the millions of mobile users in India using alternative credit assessment,Undisclosed,Undisclosed,2000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Carmel Organics,2017-01-01,Indore,Agriculture,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",Undisclosed,Undisclosed,1200192.0307249161,Series_A,2018-01-01,365 days,2018-01-01,2018
Roadcast,2017-01-01,New Delhi,Business Services,Transforming the way businesses deliver. Work-force & fleet mobility tools.,Undisclosed,Undisclosed,250000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Printline Media(ThePrint),2017-01-01,New Delhi,Media & Entertainment,A digital news platform.,Undisclosed,Undisclosed,418867.0187229957,Seed,2018-01-01,365 days,2018-01-01,2018
Creditas Solutions,2017-01-01,Gurugram,IT & Technology,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
UrbanPiper,2017-01-01,Bengaluru,IT & Technology,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Doxper,2017-01-01,Mumbai,Healthcare & Life sciences,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,Undisclosed,Undisclosed,864138.2621219396,Seed,2018-01-01,365 days,2018-01-01,2018
i2ifunding,2017-01-01,Noida,Financial Services,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,Undisclosed,Undisclosed,600096.0153624581,Seed,2018-01-01,365 days,2018-01-01,2018
ShakeDeal,2017-01-01,Bengaluru,Business Services,Home of B2B Commerce,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
HelloVerify,2017-01-01,Noida,IT & Technology,HelloVerify is an online background check platform.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Fasal,2017-01-01,Bengaluru,IT & Technology,Climate Smart Precision Agriculture Platform,Undisclosed,Undisclosed,120000.0,Seed,2018-01-01,365 days,2018-01-01,2018
CoinGeto,2017-01-01,Delhi,Financial Services,CoinGeto is one of India’s most advanced digital assets exchange.,Undisclosed,Undisclosed,1440230.4368698993,Seed,2018-01-01,365 days,2018-01-01,2018
Avail Finance,2017-01-01,Bengaluru,IT & Technology,Avail is a mobile-first platform aiming to financially include the urban mass of India.,Undisclosed,Undisclosed,17200000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Tripeur,2017-01-01,Bengaluru,IT & Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,Undisclosed,Undisclosed,600000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Wedeterna,2017-01-01,Bengaluru,Others,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Stumagz,2017-01-01,Hyderabad,Media & Entertainment,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Doubtnut,2017-01-01,Gurugram,IT & Technology,Gurgaon based E-learning platform.,Undisclosed,Undisclosed,420067.2107537206,Seed,2018-01-01,365 days,2018-01-01,2018
MCaffeine,2017-01-01,Mumbai,Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,Undisclosed,Undisclosed,384061.4498319731,Seed,2018-01-01,365 days,2018-01-01,2018
TrustCheckr,2017-01-01,Bengaluru,IT & Technology,A Bengaluru-based fraud analytics solution provider .,Undisclosed,Undisclosed,100000.0,Seed,2018-01-01,365 days,2018-01-01,2018
HealthAssure,2017-01-01,Mumbai,Healthcare & Life sciences,HealthAssure provides access to Discounted & High Quality primary care medical network.,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Picture TIme,2017-01-01,New Delhi,Media & Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,Undisclosed,Undisclosed,3000480.07681229,Seed,2018-01-01,365 days,2018-01-01,2018
1Crowd,2017-01-01,Mumbai,Financial Services,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Undisclosed,Undisclosed,3500000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Aarav Unmanned Systems,2017-01-01,Bengaluru,IT & Technology,Professional Drones for Enterprise Applications,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Wellthy Therapeutics Pvt Ltd,2017-01-01,Mumbai,Healthcare & Life sciences,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Undisclosed,Undisclosed,1620259.2414786366,Seed,2018-01-01,365 days,2018-01-01,2018
Nua,2017-01-01,Mumbai,Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Kuvera.in,2017-01-01,Bengaluru,Business Services,An online platform for mutual fund investments.,Undisclosed,Undisclosed,250000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Livehealth,2017-01-01,Pune,IT & Technology,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Undisclosed,Undisclosed,1100000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Gramophone,2017-01-01,Indore,Agriculture,An agricultural inputs startup Company.,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Ora,2017-01-01,Kolkata,Business Services,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Buddy4Study.com,2017-01-01,Noida,Business Services,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Undisclosed,Undisclosed,3000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Predible Health,2017-01-01,Bengaluru,Healthcare & Life sciences,Healthcare devices for cancer detection,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Syncremedies Healthcare Pvt Ltd,2017-01-01,Bengaluru,Healthcare & Life sciences,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Blueleaf Cyberspace Systems,2017-01-01,Bengaluru,IT & Technology,Bluleaf Cyberspace is Cloud Based Software Company.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Toffee,2017-01-01,Gurugram,Business Services,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Undisclosed,Undisclosed,1500000.0,Seed,2018-01-01,365 days,2018-01-01,2018
ORO Wealth,2017-01-01,Mumbai,Business Services,Online wealth management platform,Undisclosed,Undisclosed,1600000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
HealWell24,2017-01-01,Mumbai,Healthcare & Life sciences,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Undisclosed,Undisclosed,200000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Acko General Insurance,2017-01-01,Mumbai,Financial Services,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Undisclosed,Undisclosed,12000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
arzooo.com,2017-01-01,Bengaluru,Consumer Goods,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Undisclosed,Undisclosed,180028.8046087374,Seed,2018-01-01,365 days,2018-01-01,2018
Bonphul Air Products,2017-01-01,Delhi,Others,A clean tech product Company,Undisclosed,Undisclosed,240038.40614498322,Seed,2018-01-01,365 days,2018-01-01,2018
DheeYantra Research Labs,2017-01-01,Bengaluru,IT & Technology,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Edyoo,2017-01-01,Bengaluru,Education,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Chtrbox,2017-01-01,Mumbai,IT & Technology,Chtrbox connects social media influencers with brands .,Undisclosed,Undisclosed,120019.20307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Aashiyaan Housing and Development Finance,2017-01-01,Kolkata,Real Estate,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Undisclosed,Undisclosed,1620259.2414786366,Seed,2018-01-01,365 days,2018-01-01,2018
BetterPlace Safety Solutions Pvt. Ltd.,2017-01-01,Bengaluru,Business Services,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Undisclosed,Undisclosed,3000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Cashkumar,2017-01-01,Bengaluru,Financial Services,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Undisclosed,Undisclosed,600096.0153624581,Seed,2018-01-01,365 days,2018-01-01,2018
Rocketium,2017-01-01,Bengaluru,Business Services,Easy video creation for social media.,Undisclosed,Undisclosed,240038.40614498322,Seed,2018-01-01,365 days,2018-01-01,2018
FreightBazaar,2017-01-01,Hyderabad,Transportation & Logistics,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
OPEN,2017-01-01,Bengaluru,Financial Services,Open up to a new world of Banking,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
mfine,2017-01-01,Bengaluru,Healthcare & Life sciences,Hospital & Health Care Start up,Undisclosed,Undisclosed,4200000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Earth Food,2017-01-01,Pune,Consumer Goods,Earth Food is a healthy Food Start Up.,Undisclosed,Undisclosed,768122.8996639462,Seed,2018-01-01,365 days,2018-01-01,2018
Charcoal Eats,2017-01-01,Mumbai,Consumer Goods,Charcoal Eats aims to bring Dominos style standardisation.,Undisclosed,Undisclosed,600096.0153624581,Seed,2018-01-01,365 days,2018-01-01,2018
Wishfie,2017-01-01,Bengaluru,IT & Technology,A platform for people to express their opinions in form of short videos around any topic.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
The Social Hook,2017-01-01,Bengaluru,Business Services,Fast growing Influencer Marketing platform in India.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
FreightBro,2017-01-01,Mumbai,IT & Technology,Software for the new-age freight,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Finwego,2017-01-01,Chennai,Business Services,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Cricnwin,2017-01-01,Gurugram,Media & Entertainment,Cricnwin is a Gurugram - based Fan Engagement Platform,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Wicked Ride Adventure Services Private Limited,2017-01-01,Bengaluru,Business Services,Peer-to-Peer motor vehicles sharing,Undisclosed,Undisclosed,10000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Career Anna,2017-01-01,Bengaluru,Education,India's Go to Career Commerce Portal,Undisclosed,Undisclosed,480076.81228996644,Seed,2018-01-01,365 days,2018-01-01,2018
ERUDITUS Executive Education,2017-01-01,Mumbai,Education,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Undisclosed,Undisclosed,40000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Gaia Smart Cities,2017-01-01,Mumbai,IT & Technology,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Square Off,2017-01-01,Mumbai,IT & Technology,Delivering Imagination,Undisclosed,Undisclosed,1100000.0,Seed,2018-01-01,365 days,2018-01-01,2018
UrbanClap,2017-01-01,Delhi,IT & Technology,UrbanClap is India's leading managed marketplace for home services.,Undisclosed,Undisclosed,50000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Hospals,2017-01-01,New Delhi,Healthcare & Life sciences,Hospals is a medical tourism company.,Undisclosed,Undisclosed,1500000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Kogta Financial India Limited,2017-01-01,Jaipur,Retail,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Undisclosed,Undisclosed,18482957.273163706,Series_B,2018-01-01,365 days,2018-01-01,2018
Perspectico,2017-01-01,New Delhi,IT & Technology,An Education Management startup.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
The Souled Store,2017-01-01,Mumbai,IT & Technology,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Undisclosed,Undisclosed,3000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Hush - Speak Up. Make Work Better,2017-01-01,Bengaluru,IT & Technology,Enabling diversity of opinions in organizations,Undisclosed,Undisclosed,540086.4138262123,Seed,2018-01-01,365 days,2018-01-01,2018
Drivezy,2017-01-01,Bengaluru,Business Services,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Undisclosed,Undisclosed,100000000.0,IPO,2018-01-01,365 days,2018-01-01,2018
Freyr Energy,2017-01-01,Hyderabad,Business Services,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Undisclosed,Undisclosed,1500000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
NIRAMAI Health Analytix,2017-01-01,Bengaluru,Healthcare & Life sciences,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Undisclosed,Undisclosed,6000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
CloudSek,2017-01-01,Bengaluru,IT & Technology,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Undisclosed,Undisclosed,1680268.8430148824,Seed,2018-01-01,365 days,2018-01-01,2018
Lendbox,2017-01-01,Delhi,IT & Technology,Lendbox is India's leading peer-to-peer lending online lending platform.,Undisclosed,Undisclosed,720115.2184349496,Seed,2018-01-01,365 days,2018-01-01,2018
Verloop,2017-01-01,Bengaluru,IT & Technology,Verloop is an automated customer support and engagement platform.,Undisclosed,Undisclosed,3000000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Flickstree,2017-01-01,Mumbai,IT & Technology,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Paymatrix,2017-01-01,Hyderabad,Financial Services,India's Leading Property Rent management platform,Undisclosed,Undisclosed,100000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Idha Skin Clinic,2017-01-01,Bengaluru,Business Services,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Undisclosed,Undisclosed,60009.601536245806,Seed,2018-01-01,365 days,2018-01-01,2018
InCred,2017-01-01,Mumbai,Financial Services,InCred Finance is a mumbai-based non-banking financial company,Undisclosed,Undisclosed,41900000.0,Pre_seed,2018-01-01,365 days,2018-01-01,2018
Vedantu,2017-01-01,Bengaluru,IT & Technology,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,Undisclosed,Undisclosed,11000000.0,Series_B,2018-01-01,365 days,2018-01-01,2018
Sportido,2017-01-01,Noida,Media & Entertainment,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Stelis Biopharma,2017-01-01,Bengaluru,Others,Stelis Biopharma is a vertically integrated biopharmaceutical company,Undisclosed,Undisclosed,100000000.0,Series_B,2018-01-01,365 days,2018-01-01,2018
Magicpin,2017-01-01,Gurugram,Retail,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",Undisclosed,Undisclosed,16922707.633221317,Seed,2018-01-01,365 days,2018-01-01,2018
Try & Buy,2017-01-01,New Delhi,Consumer Goods,Try & Buy,Undisclosed,Undisclosed,1200192.0307249161,Seed,2018-01-01,365 days,2018-01-01,2018
Mech Mocha,2017-01-01,Bengaluru,IT & Technology,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,Undisclosed,Undisclosed,3530000.0,Series_B,2018-01-01,365 days,2018-01-01,2018
Aye Finance,2017-01-01,Gurugram,Financial Services,Aye Finance provides financial services to micro and small businesses in Northern India.,Undisclosed,Undisclosed,864138.2621219396,IPO,2018-01-01,365 days,2018-01-01,2018
Aldopay,2017-01-01,Chennai,IT & Technology,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Undisclosed,Undisclosed,200000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Detect Technologies,2017-01-01,Chennai,IT & Technology,Completely automated remote control system.,Undisclosed,Undisclosed,3300000.0,Series_A,2018-01-01,365 days,2018-01-01,2018
Signzy,2017-01-01,Bengaluru,IT & Technology,Signzy are creating 'building blocks for a Digital Trust system.,Undisclosed,Undisclosed,2880460.8737397986,Series_A,2018-01-01,365 days,2018-01-01,2018
CashRich,2017-01-01,Mumbai,IT & Technology,A Mumbai-based fin-tech startup,Undisclosed,Undisclosed,1000000.0,Seed,2018-01-01,365 days,2018-01-01,2018
Cloudnine Hospitals,2017-01-01,Bengaluru,Healthcare & Life sciences,Cloudnine is an Indian chain of women and child care hospitals.,Undisclosed,Undisclosed,1200192.0307249161,Pre_seed,2018-01-01,365 days,2018-01-01,2018
CropIn Technologies,2017-01-01,Bengaluru,IT & Technology,"To discover, develop and deliver innovative solution in Agtech Space",Undisclosed,Undisclosed,6961113.778204514,Series_B,2018-01-01,365 days,2018-01-01,2018
Billdesk,2017-01-01,Ahmedabad,Financial Services,"BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",Undisclosed,Undisclosed,1200192.0307249161,Series_A,2018-01-01,365 days,2018-01-01,2018
Yaantra,2017-01-01,Delhi,IT & Technology,"Yaantra, India’s leading mobile phone repair, refurbished & Unboxed centre In India",Undisclosed,Undisclosed,2000000.0,IPO,2018-01-01,365 days,2018-01-01,2018
TECHBOOZE,2017-01-01,New Delhi,Education,"Techbooze[1] ""AN OPEN FORUM"" is an educational enterprise, headquartered in India working across the country.",Undisclosed,Undisclosed,100000.0,Seed,2018-01-01,365 days,2018-01-01,2018
HealthifyMe,2017-01-01,Bengaluru,IT & Technology,HealthifyMe is an application that allows its users to achieve their fitness and weight loss goals from their computers and smartphones.,Undisclosed,Undisclosed,6000000.0,Series_B,2018-01-01,365 days,2018-01-01,2018
hoi foods,2017-01-01,Gurugram,Consumer Goods,India's first hotel dedicated food brand which promises great in room dining experience in budget hotels,Undisclosed,Undisclosed,432069.1310609698,Seed,2018-01-01,365 days,2018-01-01,2018
Perpule,2017-01-01,Bengaluru,IT & Technology,Perpule is a self-checkout product for retail outlets to enhance the shopping experience of the customers.,Undisclosed,Undisclosed,4080652.9044647147,Series_A,2018-01-01,365 days,2018-01-01,2018
